"","row","year","date","color"
"593",593,2011,20110305,"#010101"
"594",594,2011,20110306,"#010101"
"595",595,2011,20110307,"#000000"
"596",596,2011,20110308,"#000000"
"597",597,2011,20110309,"#000000"
"598",598,2011,20110310,"#000000"
"599",599,2011,20110311,"#000000"
"600",600,2011,20110312,"#000000"
"601",601,2011,20110313,"#2F3244"
"602",602,2011,20110314,"#1C202B"
"603",603,2011,20110315,"#171E29"
"604",604,2011,20110317,"#1E2028"
"605",605,2011,20110318,"#1B232F"
"606",606,2011,20110330,"#595361"
"607",607,2011,20110331,"#46475A"
"608",608,2011,20110401,"#788EB0"
"609",609,2011,20110402,"#698EBB"
"610",610,2011,20110403,"#41404A"
"611",611,2011,20110404,"#282C33"
"612",612,2011,20110405,"#44495C"
"613",613,2011,20110406,"#45444A"
"614",614,2011,20110407,"#515667"
"615",615,2011,20110408,"#2F2F31"
"616",616,2011,20110409,"#393B45"
"617",617,2011,20110410,"#373232"
"618",618,2011,20110411,"#4A4953"
"619",619,2011,20110412,"#575050"
"620",620,2011,20110413,"#484A57"
"621",621,2011,20110414,"#858EA3"
"622",622,2011,20110415,"#303235"
"623",623,2011,20110416,"#393837"
"624",624,2011,20110417,"#868893"
"625",625,2011,20110418,"#2E3034"
"626",626,2011,20110419,"#3D434E"
"627",627,2011,20110420,"#888891"
"628",628,2011,20110421,"#35383B"
"629",629,2011,20110422,"#4D4542"
"630",630,2011,20110423,"#404146"
"631",631,2011,20110424,"#8A8E95"
"632",632,2011,20110425,"#525151"
"633",633,2011,20110426,"#36393B"
"634",634,2011,20110427,"#3B3A38"
"635",635,2011,20110428,"#8B8B8B"
"636",636,2011,20110429,"#3A3833"
"637",637,2011,20110430,"#514E4B"
"638",638,2011,20110501,"#353332"
"639",639,2011,20110502,"#2B2F31"
"640",640,2011,20110503,"#3A3A36"
"641",641,2011,20110504,"#4C4B43"
"642",642,2011,20110505,"#3D3F3B"
"643",643,2011,20110506,"#433F37"
"644",644,2011,20110507,"#3D3F3B"
"645",645,2011,20110508,"#3A3935"
"646",646,2011,20110509,"#514E43"
"647",647,2011,20110510,"#3C3B36"
"648",648,2011,20110511,"#3C3D31"
"649",649,2011,20110512,"#32372F"
"650",650,2011,20110513,"#3B3D31"
"651",651,2011,20110514,"#55593E"
"652",652,2011,20110515,"#464A32"
"653",653,2011,20110516,"#8B8C8B"
"654",654,2011,20110517,"#898888"
"655",655,2011,20110518,"#898988"
"656",656,2011,20110519,"#8A8A8A"
"657",657,2011,20110520,"#878988"
"658",658,2011,20110521,"#585E32"
"659",659,2011,20110522,"#313A30"
"660",660,2011,20110523,"#616958"
"661",661,2011,20110524,"#888A87"
"662",662,2011,20110525,"#2C372A"
"663",663,2011,20110526,"#37402C"
"664",664,2011,20110527,"#324038"
"665",665,2011,20110528,"#364438"
"666",666,2011,20110529,"#323D2D"
"667",667,2011,20110530,"#323F32"
"668",668,2011,20110531,"#2F3C2F"
"669",669,2011,20110601,"#2E3A2E"
"670",670,2011,20110602,"#516247"
"671",671,2011,20110603,"#212C25"
"672",672,2011,20110604,"#29352A"
"673",673,2011,20110605,"#2E3929"
"674",674,2011,20110606,"#2C382A"
"675",675,2011,20110607,"#2F3A2C"
"676",676,2011,20110608,"#3D4B3A"
"677",677,2011,20110609,"#333E34"
"678",678,2011,20110610,"#2F3D30"
"679",679,2011,20110611,"#2F3B29"
"680",680,2011,20110612,"#898986"
"681",681,2011,20110613,"#384531"
"682",682,2011,20110614,"#455030"
"683",683,2011,20110615,"#333D2B"
"684",684,2011,20110616,"#2C362C"
"685",685,2011,20110617,"#2B362D"
"686",686,2011,20110618,"#273127"
"687",687,2011,20110619,"#303C32"
"688",688,2011,20110620,"#2A3224"
"689",689,2011,20110621,"#2E382A"
"690",690,2011,20110622,"#3D4A3F"
"691",691,2011,20110623,"#8B8C8A"
"692",692,2011,20110624,"#858784"
"693",693,2011,20110625,"#898A87"
"694",694,2011,20110626,"#3E4A38"
"695",695,2011,20110627,"#1F2823"
"696",696,2011,20110628,"#263027"
"697",697,2011,20110629,"#38463D"
"698",698,2011,20110630,"#27312A"
